Model	Color Coding	ISO Code	Material	Shank Shape/Length	Working Shape	Grid Size	åƒÇ—åa	ëSí∑	çÏã∆ïîí∑	US/EU
EX-12	Blue	806-315-039-524-035	806	315	039	524	35	20.1	7.15	811
EX-12C	Green	806-315-039-534-035	806	315	039	534	35	20.1	7.2	811
EX-13	Blue	806-315-140-524-013	806	315	140	524	13	21.1	6.15	880
EX-14	Blue	806-315-141-524-016	806	315	141	524	16	21.7	8.45	881
EX-15	Blue	806-315-141-524-021	806	315	141	524	21	22.1	8.35	881
RS-11	Blue	806-316-553-524-019	806	316	553	524	19	23.2	10.35	553
EX-18F	Red	806-315-179-514-010	806	315	179	514	10	21	9.2	839
EX-20	Blue	806-314-237-524-018	806	314	237	524	18	19.1	5.15	830R
EX-20C	Green	806-314-237-534-019	806	314	237	534	19	19.1	5.2	830R
EX-21	Blue	806-314-237-524-021	806	314	237	524	21	19	5.15	830R
EX-21C	Green	806-314-237-534-022	806	314	237	534	22	19	5.2	830R
EX-21EF	Yellow	806-314-237-504-018	806	314	237	504	18	18.82	4.92	830R
EX-21F	Red	806-314-237-514-020	806	314	237	514	20	18.9	5.05	830R
EX-21SC	Black	806-314-237-544-023	806	314	237	544	23	19.1	5.3	830R
EX-22C	Green	806-315-237-534-017	806	315	237	534	17	19.2	5	830RL
EX-24	Blue	806-316-190-524-017	806	316	190	524	17	24	10.05	220
EX-24C	Green	806-316-190-534-018	806	316	190	534	18	24	10.1	220
EX-26	Blue	806-314-239-524-032	806	314	239	524	32	19	4.95	830R
EX-26C	Green	806-314-239-534-033	806	314	239	534	33	19	5	830R
EX-26SC	Black	806-314-237-544-034	806	314	237	544	34	19.1	5.1	830R
EX-27EF	Yellow	806-315-190-504-012	806	315	190	504	12	21	7	218
RS-21	Blue	806-315-545-524-018	806	315	545	524	18	21.2	7.15	846KR
EX-29EF	Yellow	806-315-545-504-018	806	315	545	504	18	21.02	6.93	846KR
EX-31	Blue	806-314-237-524-014	806	314	237	524	14	19.1	4.25	830L
EX-31C	Green	806-314-239-534-015	806	314	239	534	15	19.1	4.3	830L
EX-31F	Red	806-314-237-514-013	806	314	237	514	13	19	4.15	830L
EX-32	Blue	806-315-237-524-013	806	315	237	524	13	20.1	4.05	830L
EX-33	Blue	806-314-237-524-015	806	314	237	524	15	19.6	4.85	830L
EX-34	Blue	806-314-237-524-017	806	314	237	524	17	19.1	5.05	830L
EX-35	Blue	806-315-277-524-023	806	315	277	524	23	21.1	4.3	830R
EX-36EF	Yellow	806-314-138-504-015	806	314	138	504	15	19.02	3.33	838
EX-37EF	Yellow	806-314-254-504-023	806	314	254	504	23	19.02	1.89	254
RS-31	Blue	806-314-544-524-019	806	314	544	524	19	19.2	4.35	845KR
RS-31EF	Yellow	806-314-544-504-018	806	314	544	504	18	18.92	4.18	845KR
EX-39	Blue	806-314-277-524-018	806	314	277	524	18	19.2	3.85	379
EX-39EF	Yellow	806-314-277-504-018	806	314	277	504	18	19.02	3.52	379
EX-40	Blue	806-314-277-524-023	806	314	277	524	23	19.2	4.4	379
EX-40EF	Yellow	806-314-277-504-023	806	314	277	504	23	19.02	4.17	379
EX-40F	Red	806-314-277-514-023	806	314	277	514	23	19.1	4.3	379
EX-41	Blue	806-314-237-524-011	806	314	237	524	11	19.1	3.05	830R
EX-41C	Green	806-314-237-534-011	806	314	237	534	11	19.1	3.1	830R
EX-42	Blue	806-314-237-524-018	806	314	237	524	18	19.1	3.05	830
EX-43	Blue	806-314-237-524-014	806	314	237	524	14	19.1	3.05	830
EX-58	Blue	806-315-298-524-010	806	315	298	524	10	21.2	8.15	858
EX-SS13	Blue	806-313-297-524-014	806	313	297	524	14	16.05	6.1	855
EX-SS13EF	Yellow	806-313-297-504-012	806	313	297	504	12	15.87	5.87	855
EX-SS14	Blue	806-313-197-524-015	806	313	197	524	15	16.05	6.1	855
EX-SS14EF	Yellow	806-313-197-504-012	806	313	197	504	12	15.87	5.87	855
EX-SS33	Blue	806-312-544-524-016	806	312	544	524	16	14.3	4.15	845KR
EX-SS33EF	Yellow	806-312-544-504-015	806	312	544	504	15	14.17	3.98	855
RS-SS31	Blue	806-313-544-524-019	806	313	544	524	19	16.1	4.45	845KR
RS-SS31EF	Yellow	806-313-544-504-018	806	313	544	504	18	15.92	4.18	845KR
EX-SS40	Blue	806-313-277-524-023	806	313	277	524	23	16.65	4.4	379
FO-100C	Green	806-314-257-534-024	806	314	257	534	24	19.15	5.25	368
FO-100F	Red	806-314-257-514-021	806	314	257	514	21	19.1	5.1	
FO-101C	Green	806-315-257-534-013	806	315	257	534	13	22	8	368
FO-11	Blue	806-316-299-524-014	806	316	299	524	14	24.1	10.15	879K
FO-11C	Green	806-316-299-534-014	806	316	299	534	14	24.1	10.2	879K
FO-12	Blue	806-316-299-524-016	806	316	299	524	16	23.7	10.75	863
FO-13	Blue	806-316-299-524-019	806	316	299	524	19	23.1	10.25	863
FO-14	Blue	806-315-299-524-023	806	315	299	524	23	22.1	10.35	863
FO-20EF	Yellow	806-314-257-504-012	806	314	257	504	12	19.92	6.02	861
FO-21	Blue	806-315-297-524-014	806	315	297	524	14	21.1	7.15	878K
FO-21C	Green	806-315-297-534-015	806	315	297	534	15	21.1	7.2	877K
FO-21EF	Yellow	806-315-297-504-011	806	315	297	504	11	20.92	6.92	878K
FO-21F	Red	806-315-297-514-013	806	315	297	514	13	21	7.05	878K
FO-21SC	Black	806-315-297-544-016	806	315	297	544	16	21.2	7.3	878K
FO-22	Blue	806-315-288-524-016	806	315	288	524	16	21.1	7.15	878K
FO-22C	Green	806-315-288-534-017	806	315	288	534	17	21.1	7.2	878K
FO-22EF	Yellow	806-315-288-504-013	806	315	288	504	13	20.92	6.92	878K
FO-22F	Red	806-315-288-514-015	806	315	288	514	15	21	7.05	878K
FO-22SC	Black	806-315-288-544-018	806	315	288	544	18	21.2	7.3	878K
FO-23	Blue	806-315-297-524-013	806	315	297	524	13	20.6	7.25	860
FO-23EF	Yellow	806-315-288-504-009	806	315	288	504	9	20.52	6.82	860
FO-23F	Red	806-315-288-514-011	806	315	288	514	11	20.6	6.95	860
FO-24	Blue	806-315-298-524-013	806	315	298	524	13	22.1	8.15	862
FO-24F	Red	806-315-298-514-013	806	315	298	514	13	22	7.95	862
FO-25	Blue	806-314-257-524-028	806	314	257	524	28	19.1	4.95	368
FO-25C	Green	806-314-257-534-029	806	314	257	534	29	19.1	5	368
FO-25EF	Yellow	806-314-257-504-025	806	314	257	504	25	18.92	4.72	368
FO-27	Blue	806-314-257-524-032	806	314	257	524	32	19.1	5	368
FO-27C	Green	806-314-257-534-033	806	314	257	534	33	19.1	5.05	368
FO-27SC	Black	806-314-257-544-034	806	314	257	544	34	19.2	5.15	368
FO-30EF	Yellow	806-314-257-504-014	806	314	257	504	14	18.92	3.07	368
FO-30F	Red	806-314-257-514-015	806	314	257	514	15	19	3.2	254
FO-31	Blue	806-314-257-524-013	806	314	257	524	13	19.7	3.25	368
FO-32	Blue	806-314-257-524-018	806	314	257	524	18	19.7	3.85	368
FO-32C	Green	806-314-257-534-019	806	314	257	534	19	19.7	3.9	368
FO-32EF	Yellow	806-314-257-504-016	806	314	257	504	16	19.52	3.62	368
FO-32SC	Black	806-314-257-544-020	806	314	257	544	20	19.8	4	368
FO-33	Blue	806-315-257-524-023	806	315	257	524	23	20.1	5.15	368
FO-33F	Red	806-315-257-514-022	806	315	257	514	22	20	5.05	368
FO-33EF	Yellow	806-315-257-504-020	806	315	257	504	20	19.9	5	
FO-40EF	Yellow	806-316-540-504-009	806	316	540	504	9	23.42	4.22	243
FO-41EF	Yellow	806-314-297-504-009	806	314	297	504	9	18.42	5.92	861
FO-42EF	Yellow	806-315-289-504-010	806	315	289	504	10	21.92	7.62	861
FO-54C	Green	806-315-508-534-019	806	315	508	534	19	21	9.6	190
FO-S21	Blue	806-314-297-524-014	806	314	297	524	14	18.2	7.15	878K
FO-S21C	Green	806-314-257-534-015	806	314	257	534	15	18.2	7.2	368
FO-S54	Blue	806-315-508-524-019	806	315	508	524	19	20	9.55	190
FO-SS21F	Red	806-314-298-514-013	806	314	298	514	13	18.1	7.65	878K
IPR-01EF	Yellow	806-315-164-504-004	806	315	164	504	4	20.97	5.57	
MI-45F	Red	806-314-001-514-010	806	314	001	514	10	19.2	0.93	801
MI-53F	Red	806-314-539-514-007	806	314	539	514	7	19.2	2.15	883
MI-61F	Red	806-314-139-514-007	806	314	139	514	7	19.2	3.75	838
MI-62F	Red	806-314-156-514-009	806	314	156	514	9	19.2	3.15	835
MI-S45	Blue	806-314-001-524-008	806	314	001	524	8	17.1	0.96	801
Pro-1	Blue	806-315-198-524-021	806	315	198	524	21	22.2	8.25	856
Pro-1EF	Yellow	806-315-198-504-021	806	315	198	504	21	22.02	8.83	856
Pro-1f	Red	806-315-198-514-020	806	315	198	514	20	22.1	8.05	856
Pro-2	Blue	806-315-198-524-018	806	315	198	524	18	22.2	8.25	856
Pro-2EF	Yellow	806-315-198-504-018	806	315	198	504	18	22.02	7.93	856
Pro-2f	Red	806-316-198-514-017	806	316	198	514	17	22.1	8.15	856
Pro-3f	Red	806-315-277-514-022	806	315	277	514	22	20.6	4.65	379
Pro-4f	Red	806-314-237-514-019	806	314	237	514	19	19.1	5.05	830R
Pro-5f	Red	806-314-041-514-039	806	314	041	514	39	19.1	0.65	815
Pro-S3	Blue	806-314-277-524-024	806	314	277	524	24	17.05	4.75	379
RS-11C	Green	806-316-553-534-020	806	316	553	534	20	23.25	10.45	553
RS-21C	Green	806-315-545-534-019	806	315	545	534	19	21.2	7.2	846KR
RS-31C	Green	806-314-544-534-019	806	314	544	534	19	19.2	4.4	845KR
RS-32	Blue	806-314-544-524-016	806	314	544	524	16	17.8	4.15	845KR
RS-32F	Red	806-314-544-514-014	806	314	544	514	14	17.7	4.05	845KR
RS-45	Blue	806-314-544-524-018	806	314	544	524	18	17.8	4.25	845KR
RS-45EF	Yellow	806-314-544-504-017	806	314	544	504	17	17.62	3.93	845KR
RS-45F	Red	806-314-544-514-017	806	314	544	514	17	17.7	4.05	845KR
SF-11	Blue	806-315-111-524-012	806	315	111	524	12	22.1	8.15	837
SF-11C	Green	806-315-111-534-013	806	315	111	534	13	22.1	8.2	837
SF-11SC	Black	806-315-111-544-014	806	315	111	544	14	22.2	8.3	837
SF-12	Blue	806-315-111-524-014	806	315	111	524	14	22	8.15	837
SF-12C	Green	806-315-111-534-015	806	315	111	534	15	22	8.2	837
SF-12SC	Black	806-315-111-544-016	806	315	111	544	16	22.1	8.3	837
SF-13	Blue	806-315-111-524-016	806	315	111	524	16	22.1	8.15	837
SF-13C	Green	806-315-111-534-017	806	315	111	534	17	22.1	8.2	837
SF-13SC	Black	806-315-111-544-018	806	315	111	544	18	22.2	8.3	837
SF-21	Blue	806-315-110-524-014	806	315	110	524	14	21	7.15	836
SF-21C	Green	806-315-110-534-015	806	315	110	534	15	21	7.2	836
SF-21SC	Black	806-315-110-544-016	806	315	110	544	16	21.1	7.3	837
SF-22	Blue	806-315-110-524-013	806	315	110	524	13	21.1	7.15	836
SF-24C	Green	806-315-110-534-012	806	315	110	534	12	20.1	6.1	836
SF-31	Blue	806-314-109-524-013	806	314	109	524	13	19.1	4.65	835
SF-31C	Green	806-314-109-534-014	806	314	109	534	14	19.1	4.7	835
SF-31SC	Black	806-314-109-544-015	806	314	109	544	15	19.2	4.8	835
SF-32	Blue	806-314-109-524-013	806	314	109	524	13	19.2	5.15	835
SF-40	Blue	806-315-109-524-010	806	315	109	524	10	20.1	4.25	107
SF-41	Blue	806-314-109-524-011	806	314	109	524	11	19	4.25	835
SF-41C	Green	806-314-109-534-011	806	314	109	534	11	19	4.3	835
SF-41SC	Black	806-314-109-544-013	806	314	109	544	13	19.1	4.4	835
SF-42	Blue	806-314-109-524-013	806	314	109	524	13	19.1	4.25	107
SF-43	Blue	806-314-109-524-015	806	314	109	524	15	19.1	4.15	107
SF-79	Blue	806-314-109-524-014	806	314	109	524	14	19.1	4.45	835
SF-79C	Green	806-314-109-534-015	806	314	109	534	15	19.1	4.5	835
SF-80	Blue	806-314-109-524-012	806	314	109	524	12	19.1	4.45	835
SF-80C	Green	806-314-109-534-013	806	314	109	534	13	19.1	4.5	835
SF-81	Blue	806-314-109-524-008	806	314	109	524	8	19.1	4.45	835
SF-S40	Blue	806-313-109-524-010	806	313	109	524	10	16.1	4.25	
SF-S41	Blue	806-313-109-524-011	806	313	109	524	11	16.7	3.75	835
SI-045	Blue	806-314-010-524-011	806	314	010	524	11	19.1	1.08	805
SI-31	Blue	806-314-010-524-019	806	314	010	524	19	19.1	5.05	
SI-33	Blue	806-314-010-524-015	806	314	010	524	15	19.1	4.35	807
SI-34	Blue	806-314-010-524-013	806	314	010	524	13	19.1	3.85	807
SI-37	Blue	806-314-010-524-017	806	314	010	524	17	19.1	4.35	807
SI-41	Blue	806-315-010-524-019	806	315	010	524	19	20.1	2.45	805
SI-42	Blue	806-315-010-524-017	806	315	010	524	17	20.1	1.85	805
SI-43	Blue	806-315-010-524-015	806	315	010	524	15	20.1	1.75	805
SI-44	Blue	806-315-010-524-013	806	315	010	524	13	20.1	1.35	805
SI-45	Blue	806-315-010-524-010	806	315	010	524	10	20.1	1.35	805
SI-46	Blue	806-314-010-524-013	806	314	010	524	13	19	1.35	805
SI-46C	Green	806-314-010-534-014	806	314	010	534	14	19	1.4	805
SI-46SC	Black	806-314-010-544-015	806	314	010	544	15	19.1	1.5	805
SI-47	Blue	806-314-010-524-015	806	314	010	524	15	19	1.75	805
SI-47C	Green	806-314-010-534-015	806	314	010	534	15	19	1.8	805
SI-47SC	Black	806-314-010-544-017	806	314	010	544	17	19.1	1.9	805
SI-48	Blue	806-314-010-524-017	806	314	010	524	17	19	1.85	805
SI-48C	Green	806-314-010-534-017	806	314	010	534	17	19	1.9	805
SI-48SC	Black	806-314-010-544-019	806	314	010	544	19	19.1	2	805
SI-61	Blue	806-314-012-524-010	806	314	012	524	10	19.15	1.25	12
SI-S46	Blue	806-313-010-524-013	806	313	010	524	13	16.6	1.35	805
SI-S48	Blue	806-313-010-524-017	806	313	010	524	17	16.6	1.85	805
SO-11	Blue	806-315-130-524-012	806	315	130	524	12	21.7	7.85	885
SO-12	Blue	806-316-290-524-015	806	316	290	524	15	24.1	9.95	879
SO-13	Blue	806-316-131-524-016	806	316	131	524	16	24.1	9.65	886
SO-14	Blue	806-316-131-524-018	806	316	131	524	18	24.1	9.65	886
SO-20	Blue	806-315-297-524-012	806	315	297	524	12	21	6.15	877
SO-20C	Green	806-315-297-534-013	806	315	297	534	13	21	6.2	877K
SO-21	Blue	806-315-298-524-014	806	315	298	524	14	21.8	8.15	878
SO-21C	Green	806-315-298-534-015	806	315	298	534	15	21.8	8.2	878K
SO-21SC	Black	806-315-298-544-016	806	315	298	544	16	21.9	8.3	878
SO-22C	Green	806-315-288-534-010	806	315	288	534	10	20.2	6.1	878
SO-23	Blue	806-315-289-524-017	806	315	289	524	17	22.1	8.15	878
SO-23C	Green	806-315-289-534-012	806	315	289	534	12	22.2	8.1	878
SO-67	Blue	806-316-291-524-014	806	316	291	524	14	26.1	12.15	879
SO-S20	Blue	806-314-297-524-012	806	314	297	524	12	18.8	6.15	877
SO-S20C	Green	806-314-297-534-013	806	314	297	534	13	18.8	6.2	877K
SO-SS20	Blue	806-313-297-524-012	806	313	297	524	12	16.8	6.15	877K
SR-11	Blue	806-315-141-524-012	806	315	141	524	12	22.2	8.15	881
SR-11C	Green	806-315-141-534-013	806	315	141	534	13	22.2	8.2	881
SR-11SC	Black	806-315-141-544-014	806	315	141	544	14	22.3	8.3	881
SR-12	Blue	806-315-141-524-014	806	315	141	524	14	22.2	8.15	881
SR-12C	Green	806-315-141-534-015	806	315	141	534	15	22.2	8.2	881
SR-12SC	Black	806-315-141-544-016	806	315	141	544	16	22.3	8.3	881
SR-13	Blue	806-315-141-524-016	806	315	141	524	16	22.2	8.15	881
SR-13C	Green	806-315-141-534-017	806	315	141	534	17	22.2	8.2	881
SR-13SC	Black	806-315-141-544-018	806	315	141	544	18	22.3	8.3	881
SR-54	Blue	806-314-139-524-012	806	314	139	524	12	19.3	4.15	838
SR-55	Blue	806-314-139-524-013	806	314	139	524	13	19.3	4.25	838
SR-56	Blue	806-315-140-524-013	806	315	140	524	13	20.6	7.15	
SR-57	Blue	806-314-139-524-009	806	314	139	524	9	19.3	4.15	838
TC-11	Blue	806-315-166-524-016	806	315	166	524	16	22	10.15	852
TC-11C	Green	806-315-166-534-017	806	315	166	534	17	22	10.2	852
TC-11EF	Yellow	806-315-166-504-013	806	315	166	504	13	21.82	9.92	852
TC-11F	Red	806-315-166-514-015	806	315	166	514	15	21.9	10.05	852
TC-11SC	Black	806-315-166-544-018	806	315	166	544	18	22.1	10.3	852
TC-12	Blue	806-316-167-524-011	806	316	167	524	11	26.1	11.65	859L
TC-13	Blue	806-316-167-524-014	806	316	167	524	14	25.1	11.25	859L
TC-14	Blue	806-316-166-524-016	806	316	166	524	16	23.7	10.25	859
TC-14EF	Yellow	806-316-166-504-013	806	316	166	504	13	23.52	10.02	859
TC-14F	Red	806-316-166-514-015	806	316	166	514	15	23.6	10.15	859
TC-15	Blue	806-316-166-524-019	806	316	166	524	19	24.1	10.15	859
TC-16	Blue	806-316-166-524-018	806	316	166	524	18	23.2	10.35	859
TC-21	Blue	806-315-165-524-014	806	315	165	524	14	22	8.15	852
TC-21C	Green	806-315-165-534-015	806	315	165	534	15	22	8.2	858
TC-21EF	Yellow	806-315-165-504-011	806	315	165	504	11	21.82	7.92	852
TC-21F	Red	806-315-165-514-013	806	315	165	514	13	21.9	8.05	852
TC-22	Blue	806-315-165-524-013	806	315	165	524	13	21.1	7.45	
TC-23	Blue	806-315-165-524-013	806	315	165	524	13	21.1	7.25	858
TC-23F	Red	806-315-165-514-013	806	315	165	514	13	21	7.15	858
TC-24	Blue	806-315-165-524-015	806	315	165	524	15	21.1	7.15	858
TC-25	Blue	806-315-164-524-018	806	315	164	524	18	21.1	6.35	
TC-26	Blue	806-315-164-524-011	806	315	164	524	11	21.2	6.05	852
TC-26C	Green	806-315-164-534-011	806	315	164	534	11	21.2	6.1	852
TC-28	Blue	806-316-166-524-011	806	316	166	524	11	23.2	10.15	859
TC-72	Blue	806-315-165-524-010	806	315	165	524	10	21.8	7.85	858
TC-72C	Green	806-315-165-534-011	806	315	165	534	11	21.8	7.9	858
TC-73F	Red	806-316-166-514-010	806	316	166	514	10	23.7	9.65	859
TC-74C	Green	806-316-166-534-012	806	316	166	534	12	23.7	9.8	859
TC-S21	Blue	806-315-165-524-014	806	315	165	524	14	20	8.15	852
TC-S21C	Green	806-315-165-534-015	806	315	165	534	15	20	8.2	858
TC-SS21	Blue	806-314-165-524-014	806	314	165	524	14	17.1	8.15	858
TC-SS21F	Red	806-314-165-514-012	806	314	165	514	12	18.1	8.15	858
TF-11	Blue	806-316-173-524-014	806	316	173	524	14	24	10.15	848
TF-11C	Green	806-316-173-534-015	806	316	173	534	15	24	10.2	848
TF-11SC	Black	806-316-173-544-016	806	316	173	544	16	24.1	10.3	73
TF-12	Blue	806-315-173-524-016	806	315	173	524	16	21.8	10.15	848
TF-12C	Green	806-315-173-534-017	806	315	173	534	17	21.8	10.2	848
TF-12EF	Yellow	806-315-173-504-013	806	315	173	504	13	21.62	9.92	848
TF-12F	Red	806-315-173-514-015	806	315	173	514	15	21.7	10.05	848
TF-12SC	Black	806-315-173-544-018	806	315	173	544	18	21.9	10.3	848
TF-13	Blue	806-315-173-524-018	806	315	173	524	18	21.8	10.15	848
TF-13C	Green	806-315-173-534-019	806	315	173	534	19	21.8	10.2	848
TF-13SC	Black	806-315-173-544-020	806	315	173	544	20	21.9	10.3	848
TF-14	Blue	806-315-172-524-023	806	315	172	524	23	21.8	9.25	847
TF-14C	Green	806-315-172-534-024	806	315	172	534	24	21.85	9.35	847
TF-15	Blue	806-315-172-524-026	806	315	172	524	26	22.1	8.25	847
TF-20	Blue	806-315-171-524-014	806	315	171	524	14	21	7.15	846
TF-20C	Green	806-315-171-534-015	806	315	171	534	15	21	7.2	846
TF-21	Blue	806-315-171-524-016	806	315	171	524	16	21	7.15	846
TF-21C	Green	806-315-171-534-017	806	315	171	534	17	21	7.2	846
TF-21EF	Yellow	806-315-171-504-013	806	315	171	504	13	20.82	6.92	846
TF-21F	Red	806-315-171-514-015	806	315	171	514	15	20.9	7.05	846
TF-22	Blue	806-314-170-524-021	806	314	170	524	21	19	5.45	845
TF-22C	Green	806-314-171-534-022	806	314	171	534	22	19.05	5.55	845
TF-22SC	Black	806-314-170-544-023	806	314	170	544	23	19.1	5.6	845
TF-23	Blue	806-315-170-524-018	806	315	170	524	18	20.1	5.15	845
TF-23C	Green	806-315-170-534-019	806	315	170	534	19	20.1	5.2	845
TF-31	Blue	806-314-170-524-016	806	314	170	524	16	19	4.15	845
TF-31C	Green	806-314-170-534-017	806	314	170	534	17	19	4.2	845
TF-31SC	Black	806-314-170-544-018	806	314	170	544	18	19.1	4.3	845
